image_name,resnet18,resnet50,resnet101
137.JPEG,187.48170471191406,739.84423828125,735.4677124023438
138.JPEG,159.4425506591797,701.2951049804688,725.662353515625
139.JPEG,162.3013153076172,687.88525390625,761.0479736328125
140.JPEG,163.3091583251953,744.8128051757812,718.14453125
141.JPEG,184.10621643066406,727.3314208984375,714.5560913085938
142.JPEG,162.7720184326172,688.4561157226562,730.52099609375
143.JPEG,157.9527130126953,671.7830810546875,741.6435546875
144.JPEG,165.26480102539062,675.4197998046875,717.5950317382812
145.JPEG,164.56069946289062,751.90966796875,711.70068359375
146.JPEG,165.51626586914062,750.345703125,670.0374755859375
147.JPEG,161.7183380126953,719.7354736328125,700.1092529296875
148.JPEG,176.12391662597656,707.6553955078125,729.4993896484375
149.JPEG,178.04904174804688,711.5115966796875,711.281005859375
150.JPEG,172.94444274902344,692.335205078125,707.8347778320312
151.JPEG,162.48074340820312,751.9693603515625,706.426513671875
152.JPEG,176.9233856201172,704.989013671875,740.7380981445312
153.JPEG,167.43141174316406,708.552001953125,731.0307006835938
154.JPEG,165.5849609375,750.7227783203125,702.41748046875
155.JPEG,178.24708557128906,644.6881103515625,727.8675537109375
156.JPEG,171.50306701660156,762.5549926757812,651.8961791992188
157.JPEG,171.56602478027344,717.741455078125,687.4105834960938
158.JPEG,167.3762664794922,709.0662841796875,737.2086181640625
159.JPEG,181.71902465820312,748.7103271484375,753.3504028320312
160.JPEG,187.49966430664062,712.0079345703125,731.5237426757812
161.JPEG,170.38641357421875,706.3455200195312,662.5444946289062
162.JPEG,173.05239868164062,705.9900512695312,738.5032958984375
163.JPEG,157.98243713378906,688.9696044921875,741.106689453125
164.JPEG,157.26211547851562,762.0089111328125,709.2471313476562
165.JPEG,166.8422393798828,657.7562255859375,748.110595703125
166.JPEG,181.1640167236328,709.4110107421875,703.6094970703125
167.JPEG,169.34344482421875,687.0167846679688,742.9385986328125
168.JPEG,174.2124481201172,696.5109252929688,687.0302124023438
169.JPEG,161.66468811035156,685.5419921875,699.7447509765625
170.JPEG,183.30213928222656,693.96533203125,798.2822875976562
171.JPEG,168.91683959960938,722.012939453125,747.0216064453125
172.JPEG,192.1487274169922,721.3101806640625,703.7987670898438
173.JPEG,171.30487060546875,709.6405029296875,697.8585205078125
174.JPEG,186.0302734375,731.240478515625,738.3575439453125
175.JPEG,176.59059143066406,691.8008422851562,759.3004150390625
176.JPEG,177.091552734375,696.961181640625,743.9589233398438
177.JPEG,160.76060485839844,806.897705078125,753.6652221679688
178.JPEG,177.1072540283203,720.5272216796875,751.0177001953125
179.JPEG,159.99365234375,717.2514038085938,738.1279907226562
180.JPEG,169.6533660888672,726.3363037109375,692.4641723632812
181.JPEG,185.63851928710938,745.589599609375,753.0713500976562
182.JPEG,172.33193969726562,733.3689575195312,760.8384399414062
183.JPEG,168.2826385498047,707.8574829101562,687.478271484375
184.JPEG,168.42543029785156,703.5642700195312,730.5354614257812
185.JPEG,174.21697998046875,706.6384887695312,755.0147094726562
186.JPEG,173.14425659179688,739.0999145507812,694.0482788085938
