image_name,vit_small_patch16_224,vit_base_patch16_224,vit_large_patch16_224
76.JPEG,132.48963928222656,250.12890625,337.5296325683594
77.JPEG,145.1948699951172,230.8067169189453,352.3196716308594
78.JPEG,127.11959838867188,268.9310302734375,336.94805908203125
79.JPEG,133.68807983398438,255.26629638671875,315.83343505859375
80.JPEG,130.7264862060547,275.6516418457031,334.2337951660156
81.JPEG,144.2053680419922,244.88497924804688,328.5985107421875
82.JPEG,129.2691650390625,250.3814697265625,347.2572326660156
83.JPEG,115.33106231689453,248.76754760742188,330.0989074707031
84.JPEG,132.69679260253906,268.2027893066406,318.93231201171875
85.JPEG,128.56358337402344,263.4925842285156,338.8437805175781
86.JPEG,128.8323516845703,245.28115844726562,340.981201171875
87.JPEG,141.01620483398438,245.90550231933594,340.74090576171875
88.JPEG,126.64480590820312,239.48239135742188,336.1341552734375
89.JPEG,121.22948455810547,254.7520294189453,334.8782958984375
90.JPEG,119.38497924804688,265.2275390625,310.9622497558594
91.JPEG,137.01458740234375,264.53900146484375,355.2192687988281
92.JPEG,129.5362548828125,273.5401916503906,337.32061767578125
93.JPEG,130.70945739746094,249.55593872070312,346.8402099609375
94.JPEG,128.18983459472656,255.88882446289062,323.5766906738281
95.JPEG,141.45980834960938,253.84617614746094,325.0946044921875
96.JPEG,127.8005142211914,265.1332092285156,350.6993103027344
97.JPEG,140.2561492919922,288.83514404296875,335.47821044921875
98.JPEG,133.34902954101562,249.50418090820312,313.5206298828125
99.JPEG,135.93798828125,264.3011169433594,340.6763610839844
100.JPEG,132.25784301757812,274.79290771484375,335.3539123535156
101.JPEG,120.79212951660156,261.7294006347656,339.5962219238281
102.JPEG,124.48963165283203,286.96661376953125,326.9872741699219
103.JPEG,124.43134307861328,255.9698028564453,329.9364318847656
104.JPEG,120.9651870727539,270.72235107421875,325.8041687011719
105.JPEG,136.8550567626953,275.86572265625,350.5425720214844
106.JPEG,117.00312805175781,273.68927001953125,326.9768371582031
107.JPEG,133.11668395996094,288.005859375,331.7052001953125
108.JPEG,141.33590698242188,266.640380859375,332.6614074707031
109.JPEG,142.57769775390625,255.34298706054688,331.0169677734375
110.JPEG,146.46485900878906,241.44725036621094,345.0709533691406
111.JPEG,137.58456420898438,257.5732116699219,338.8132019042969
112.JPEG,121.4410400390625,261.0732727050781,312.6073303222656
113.JPEG,127.38494110107422,286.138427734375,356.8150939941406
114.JPEG,117.43267059326172,265.6137390136719,342.0646057128906
115.JPEG,134.9601287841797,243.93089294433594,362.6557922363281
116.JPEG,146.83718872070312,259.2438049316406,314.16162109375
117.JPEG,115.33450317382812,239.66830444335938,318.8936767578125
