image_name,densenet121,densenet169,densenet201
93.JPEG,330.1728515625,535.2909545898438,647.1390991210938
94.JPEG,339.4142761230469,584.5355224609375,664.8043212890625
95.JPEG,348.7558898925781,596.1076049804688,646.9911499023438
96.JPEG,367.0462951660156,574.6846313476562,665.36181640625
97.JPEG,337.6690673828125,600.404052734375,680.2100830078125
98.JPEG,327.3536071777344,558.9249267578125,644.1801147460938
99.JPEG,356.91839599609375,533.612060546875,649.5011596679688
100.JPEG,319.5115051269531,536.9602661132812,680.828369140625
101.JPEG,340.857666015625,537.4020385742188,630.3870849609375
102.JPEG,337.7276306152344,544.3133544921875,661.2012939453125
103.JPEG,346.3470153808594,580.1026611328125,626.25927734375
104.JPEG,334.9560546875,603.7387084960938,649.3707275390625
105.JPEG,317.670166015625,592.9668579101562,655.8729248046875
106.JPEG,342.7044982910156,522.1170654296875,671.8629760742188
107.JPEG,362.95220947265625,600.6962890625,670.7507934570312
108.JPEG,326.7725830078125,577.1460571289062,679.47802734375
109.JPEG,368.0040588378906,551.3046875,664.2069091796875
110.JPEG,364.687744140625,533.494873046875,650.1766357421875
111.JPEG,322.367431640625,515.3340454101562,646.4803466796875
112.JPEG,333.3349914550781,562.6881103515625,647.1088256835938
113.JPEG,347.53814697265625,549.537841796875,646.832275390625
114.JPEG,318.8802490234375,504.80731201171875,657.4228515625
115.JPEG,337.9941711425781,541.4000854492188,644.4288330078125
116.JPEG,351.1172180175781,553.0571899414062,647.8825073242188
117.JPEG,321.8763732910156,559.3665161132812,621.8707885742188
118.JPEG,344.9176330566406,564.7589721679688,668.1598510742188
119.JPEG,350.9320373535156,496.0350341796875,651.7880249023438
120.JPEG,352.4706115722656,608.6497802734375,627.5525512695312
121.JPEG,369.9146423339844,561.1500854492188,659.4158325195312
122.JPEG,353.9446105957031,562.667236328125,612.40283203125
123.JPEG,345.81884765625,592.7723388671875,663.0880737304688
124.JPEG,341.1549987792969,580.6829223632812,643.2879028320312
125.JPEG,332.776123046875,545.6702270507812,664.6284790039062
126.JPEG,317.70513916015625,537.243408203125,659.0386962890625
127.JPEG,351.0306701660156,556.2649536132812,658.1272583007812
128.JPEG,350.46435546875,564.1419677734375,672.4905395507812
129.JPEG,356.11907958984375,557.8631591796875,652.64306640625
130.JPEG,307.9685363769531,569.3417358398438,628.8350219726562
131.JPEG,322.280029296875,568.8102416992188,662.4097900390625
132.JPEG,332.1228942871094,542.5800170898438,683.5227661132812
133.JPEG,361.5610656738281,568.8094482421875,697.6844482421875
134.JPEG,322.8335266113281,577.6396484375,636.4368896484375
135.JPEG,366.83807373046875,560.5155639648438,645.4296264648438
136.JPEG,353.294677734375,517.6265258789062,676.709228515625
137.JPEG,346.123046875,552.4774169921875,679.9837036132812
138.JPEG,354.7965393066406,554.9846801757812,674.281982421875
139.JPEG,352.8497314453125,554.9678344726562,664.9554443359375
140.JPEG,347.84649658203125,549.6878051757812,638.5829467773438
141.JPEG,374.33984375,574.6328735351562,635.54150390625
142.JPEG,353.7403259277344,580.7559204101562,669.692626953125
143.JPEG,346.5251159667969,542.2589111328125,647.3025512695312
144.JPEG,364.3855895996094,561.0123901367188,680.0675659179688
145.JPEG,351.5645446777344,566.5693359375,600.8828735351562
146.JPEG,347.9398193359375,530.610595703125,676.6630249023438
147.JPEG,348.5021667480469,525.3555297851562,668.634765625
148.JPEG,341.7864990234375,573.0524291992188,654.4411010742188
149.JPEG,364.256591796875,579.5509643554688,706.7978515625
150.JPEG,327.8740234375,588.364501953125,659.9302978515625
151.JPEG,348.7895812988281,566.2221069335938,701.1587524414062
152.JPEG,350.9458923339844,584.2261962890625,663.9835815429688
153.JPEG,332.035888671875,574.0433959960938,610.7091674804688
154.JPEG,322.7326965332031,564.926025390625,641.1550903320312
155.JPEG,322.0620422363281,553.5939331054688,658.24560546875
156.JPEG,309.7073059082031,507.8529968261719,644.8743896484375
157.JPEG,363.78717041015625,542.2278442382812,669.3556518554688
158.JPEG,360.20147705078125,582.2589111328125,631.0751953125
159.JPEG,342.6150817871094,522.146728515625,699.1298217773438
160.JPEG,358.997802734375,568.8035888671875,656.7314453125
161.JPEG,334.1262512207031,519.1995239257812,621.8029174804688
162.JPEG,340.38079833984375,574.40673828125,653.1488037109375
163.JPEG,328.1090087890625,537.595458984375,622.3003540039062
164.JPEG,360.5484619140625,596.14453125,638.103271484375
165.JPEG,344.8671569824219,577.230712890625,678.2136840820312
166.JPEG,362.80029296875,568.2757568359375,675.1373291015625
167.JPEG,338.87689208984375,581.2380981445312,658.510009765625
168.JPEG,335.8041687011719,561.7684936523438,628.2688598632812
169.JPEG,361.7243347167969,560.2601318359375,608.9497680664062
170.JPEG,367.3274841308594,566.6175537109375,668.4285278320312
171.JPEG,349.96661376953125,564.0914306640625,636.85009765625
